ID,Status,Uptime,Country,Location,Ships,Distinct,,,,,,,,,,,
2922,,"100,00 %", Spain,Alcaidesa,64,40,,,,,,,,,,,
2273,,"98,00 %", Netherlands,Rotterdam,64,0,,,,,,,,,,,
2764,,"100,00 %", Norway,Skudeneshavn,63,5,,,,,,,,,,,
2165,,"100,00 %", Germany,Hamburg,63,3,,,,,,,,,,,
2653,,"100,00 %", France,La Rochelle,63,36,,,,,,,,,,,
2189,,"100,00 %", Italy,Milazzo,63,49,,,,,,,,,,,
3156,,"100,00 %", Greece,Athens,63,0,,,,,,,,,,,
2020,,"100,00 %", United Kingdom,Liverpool,63,0,,,,,,,,,,,
3347,,"100,00 %", Netherlands,Krimpen aan den IJssel,63,3,,,,,,,,,,,
2573,,"100,00 %", Italy,Venice,63,21,,,,,,,,,,,
3987,,"100,00 %", Belgium,Wenduine,63,6,,,,,,,,,,,
2695,,"100,00 %", Finland,Turku,62,22,,,,,,,,,,,
3574,,"100,00 %", Spain,Vigo,62,2,,,,,,,,,,,
3653,,"93,00 %", Greece,Aegina Island,62,1,,,,,,,,,,,
3175,,"95,00 %", United Kingdom,Tangmere,61,16,,,,,,,,,,,
2949,,"100,00 %", Norway,Bergen,61,0,,,,,,,,,,,
3711,,"100,00 %", Australia,Cairns,61,59,,,,,,,,,,,
2282,,"100,00 %", United States of America,Seattle,61,6,,,,,,,,,,,
2262,,"95,00 %", Sweden,Karlskrona,61,61,,,,,,,,,,,
2113,,"100,00 %", Saudi Arabia,Tabuk,61,59,,,,,,,,,,,
3271,,"100,00 %", Spain,Torrevieja,60,30,,,,,,,,,,,
2115,,"100,00 %", United Kingdom,London,60,0,,,,,,,,,,,
2313,,"100,00 %", United Kingdom,Broadstairs, Kent,59,,,,,,,,,,,
2111,,"100,00 %", Turkey,Göcek,59,47,,,,,,,,,,,
2590,,"100,00 %", Netherlands,Breda,59,18,,,,,,,,,,,
2762,,"99,00 %", Singapore,Singapore,59,1,,,,,,,,,,,
2247,,"100,00 %", United States of America,Hanover, Maryland ,59,,,,,,,,,,,
3149,,"100,00 %", Germany,Bremerhaven,59,0,,,,,,,,,,,
2796,,"100,00 %", Canada,Victoria,58,1,,,,,,,,,,,
2995,,"100,00 %", Australia,Kingston,58,4,,,,,,,,,,,
2206,,"100,00 %", United Kingdom,Cleethorpes,58,0,,,,,,,,,,,
2058,,"91,00 %", Denmark,Humlebaek,57,0,,,,,,,,,,,
2070,,"100,00 %", Australia,Nelson Bay, NSW,57,,,,,,,,,,,
2094,,"100,00 %", Netherlands,Helmond,57,0,,,,,,,,,,,
3032,,"99,00 %", Spain,Badalona,57,11,,,,,,,,,,,
2571,,"100,00 %", Netherlands,Leens,57,0,,,,,,,,,,,
2684,,"96,00 %", Norway,Oslo, Frognerkilen,56,,,,,,,,,,,
3145,,"100,00 %", Canada,Vancouver,56,2,,,,,,,,,,,
3447,,"96,00 %", Sweden,Helsingborg,56,4,,,,,,,,,,,
3417,,"100,00 %", Sweden,Sodra Bjorkfjarden,56,32,,,,,,,,,,,
2394,,"100,00 %", Italy,Livorno,56,0,,,,,,,,,,,
