ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor,,
2079,,"100,00 %", Canada,Halifax,45,7, ,,
3241,,"98,00 %", Morocco,Casablanca,45,45, ,,
3145,,"100,00 %", Canada,Vancouver,45,3, ,,
3212,,"100,00 %", Netherlands,Maarssenbroek,45,14, ,,
3987,,"100,00 %", Belgium,Wenduine,44,4, ,,
2739,,"100,00 %", Australia,Townsville,44,16, ,,
2761,,"100,00 %", Netherlands,Huissen,44,0, ,,
2764,,"100,00 %", Norway,Skudeneshavn,44,3, ,,
2037,,"100,00 %", France,France,44,11, ,,
2453,,"100,00 %", Norway,Kristiansand,44,12, ,,
2885,,"100,00 %", United Kingdom,Hartlepool,44,44, ,,
2304,,"100,00 %", Sweden,Ingarostrand,44,3, ,,
2175,,"100,00 %", Germany,Berlin Rummelsburg,43,3, ,,
2143,,"95,00 %", Netherlands,Sliedrecht,43,13, ,,
2346,,"100,00 %", Netherlands,Amsterdam,43,0, ,,
3007,,"100,00 %", Netherlands,Maarssen,43,11, ,,
3096,,"100,00 %", United Kingdom,Wirral,42,0, ,,
3166,,"100,00 %", Netherlands,Zaandam,42,0, ,,
3221,,"100,00 %", United States of America,Mill Valley, CA,42,2, ,
3054,,"100,00 %", Finland,Turku,42,2, ,,
2525,,"99,00 %", Italy,Meta (Naples),42,40, ,,
2713,,"100,00 %", United Kingdom,Scotland, Greenock,42,19, ,
3812,,"93,00 %", Spain,Valencia,41,0, ,,
2952,,"100,00 %", Germany,Hamburg,41,0, ,,
2836,,"100,00 %", France,Brest,40,2, ,,
2023,,"100,00 %", United States of America,Baltimore, Maryland,40,9, ,
3456,,"90,00 %", Japan,Hakodate,40,35, ,,
2928,,"99,00 %", Norway,Hammerfest,40,14, ,,
2741,,"100,00 %", United States of America,Stanford,40,1, ,,
2019,,"100,00 %", Canada,Victoria, BC,39,1, ,
2198,,"100,00 %", Norway,Kristiansund,39,0, ,,
2266,,"100,00 %", Sweden,Sodersvik,39,9, ,,
3076,,"100,00 %", France,Hegenheim,39,32, ,,
2504,,"100,00 %", Malaysia,Kota Kinabalu,39,39, ,,
2861,,"100,00 %", Germany,Karlsruhe,39,37,Fraunhofer IOSB,,
3300,,"100,00 %", Norway,Bodø,39,0, ,,
3543,,"100,00 %", Canada,Halifax,39,1, ,,
2625,,"100,00 %", Netherlands,Sint Anne,39,1, ,,
2703,,"100,00 %", United Arab Emirates,Dubai,38,36,Standard Bulk Shipbrokers,,
2247,,"100,00 %", United States of America,Hanover, Maryland ,38,4, ,
3217,,"100,00 %", United States of America,Seattle, WA,38,8, ,
2094,,"100,00 %", Netherlands,Helmond,38,0, ,,
2571,,"100,00 %", Netherlands,Leens,38,0, ,,
3278,,"100,00 %", United States of America,Maryland,38,0, ,,
2296,,"100,00 %", United Kingdom,Ramsgate,38,0, ,,
3471,,"100,00 %", Sweden,Wik-Inn Marina,37,31, ,,
2805,,"100,00 %", Germany,Norderney,37,36, ,,
3102,,"100,00 %", Greece,Athens,37,0, ,,
2925,,"100,00 %", Australia,Elizabeth,37,10, ,,
3419,,"100,00 %", United States of America,Cambridge, MA,37,10, ,
3147,,"100,00 %", Norway,Tromsø,37,0, ,,
2749,,"100,00 %", France,Carnon,37,36, ,,
2140,,"100,00 %", Netherlands,Rotterdam,36,0, ,,
2059,,"100,00 %", Portugal,Azores,36,4, ,,
2345,,"100,00 %", Unknown,Multiple AIS stations,36,0, ,,
2522,,"100,00 %", France,Port de Bouc,36,36, ,,
2693,,"100,00 %", France,Roaming station,36,0,SailGrib,,
3370,,"100,00 %", Norway,Bodo,36,0, ,,
2627,,"100,00 %", United States of America,Groton CT,36,18, ,,
3549,,"100,00 %", Norway,Mehamn,36,36, ,,
2400,,"100,00 %", Denmark,Norresundby,35,28, ,,
2348,,"100,00 %", Chile,Viña del Mar,35,21, ,,
