ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2139,,100 %,ÿDenmark,Islands Brygge,138,39, 
2281,,100 %,ÿPortugal,Sines,138,86, 
2505,,100 %,ÿSweden,G”teborg,136,1, 
2940,,100 %,ÿAustralia,"Thornlands, Queensland",136,27, 
2806,,87 %,ÿUnited States of America,San Francisco,135,14, 
3358,,100 %,ÿSweden,Gothenburg,135,0, 
3322,,100 %,ÿKorea,Busan,135,9, 
3616,,100 %,ÿNetherlands,Vlissingen,134,1, 
3681,,99 %,ÿUnited States of America,Seattle,132,0, 
3271,,100 %,ÿSpain,Torrevieja,131,79, 
2093,,100 %,ÿFrance,Rouen,131,9, 
3673,,100 %,ÿSpain,Barcelona,131,22, 
3012,,81 %,ÿTurkey,Istanbul,129,116, 
2117,,99 %,ÿIndonesia,"Bintulu, Sarawak",125,125, 
3412,,100 %,ÿNetherlands,Rotterdam,124,0, 
2797,,100 %,ÿUnited States of America,Signal Hill,124,35, 
3428,,100 %,ÿSpain,Valencia,124,0, 
2610,,100 %,ÿGermany,Kiel,123,31, 
2443,,100 %,ÿNetherlands,Julianadorp,123,44, 
3700,,83 %,ÿNetherlands,Emmeloord,123,0, 
2512,,100 %,ÿCanada,Quadra Island,122,68, 
2102,,100 %,ÿFrance,Antibes,122,3, 
2350,,100 %,ÿNetherlands,Delfzijl,122,84, 
2426,,100 %,ÿUnited States of America,San Francisco Bay,122,4, 
3824,,100 %,ÿUnited States of America,"Miami, FL",119,1, 
3933,,100 %,ÿUnited Kingdom,"Bursledon, Solent",119,11, 
2221,,100 %,ÿNorway,Stavanger,118,29, 
2305,,100 %,ÿUnited States of America,"Florida, Fort Lauderdale",117,0, 
2981,,81 %,ÿBelgium,Oostende,117,3, 
2481,,100 %,ÿFinland,Vaasa,117,46, 
2464,,100 %,ÿGermany,Wentorf,116,0, 
3491,,76 %,ÿGermany,Hamburg,116,0, 
3376,,100 %,ÿUnited States of America,San Francisco,116,6, 
2993,,90 %,ÿThailand,Samut Prakan,114,109, 
3457,,98 %,ÿUnited States of America,"Stephensville, Louisiana",114,95, 
