ID;Status;Uptime;Country;Location;Ships;Distinct
2136;;100 %; Netherlands;NW_Overijssel ;96;16
2136;;100 %; Netherlands;NW_Overijssel ;96;16
3752;;100 %; Japan;Tokyo;95;94
2093;;100 %; France;Rouen;95;2
2351;;100 %; Netherlands;Goes;95;5
2335;;100 %; France;Le Havre;95;0
2127;;100 %; Netherlands;Rotterdam;94;0
2548;;100 %; Netherlands;Poortugaal;94;0
2607;;100 %; Unknown;Roaming station;94;5
2731;;100 %; Ukraine;Kyiv;91;0
2474;;100 %; United Kingdom;Gosport;91;0
3423;;100 %; Germany;Oldendorf;91;32
2649;;100 %; United Kingdom;Southampton;90;6
2813;;100 %; Canada;Vancouver;90;1
2379;;100 %; Netherlands;Zeist;89;26
3296;;100 %; Norway;Stavanger;89;12
3660;;99 %; Australia;Roaming station;89;27
3287;;100 %; Netherlands;Renesse;88;10
2655;;100 %; Netherlands;Sliedrecht;87;57
2371;;100 %; Israel;Haifa;86;0
2893;;100 %; Israel;Haifa;86;0
3093;;100 %; Cyprus;Limassol;86;48
3207;;100 %; Thailand;Bangkok;86;2
2892;;100 %; Netherlands;Duiven;86;35
3653;;98 %; Greece;Aegina Island;85;4
2697;;100 %; United States of America;Bremerton, WA;85;13
3234;;100 %; France;L'Epine;85;12
3400;;100 %; Philippines;Paranaque;85;84
2807;;100 %; Germany;Bremerhaven;84;0
3254;;100 %; Netherlands;Emmeloord;84;1
2720;;100 %; Spain;Vigo Bay;84;27
3597;;100 %; United States of America;Hampton Virginia;83;45
2886;;100 %; Netherlands;Maassluis;83;0
3634;;100 %; Italy;Udine;82;3
2899;;100 %; Germany;Berlin;82;60
3445;;9 %; United Kingdom;Minster On Sea;81;0
3593;;100 %; Germany;Rostock;81;66
2641;;100 %; Germany;Hooksiel;81;27
2812;;100 %; United States of America;San Francisco;80;67
3152;;100 %; Belgium;Zeebrugge;79;46
2845;;100 %; Germany;Cuxhaven;79;75
2923;;100 %; Denmark;Lemvig;78;77
3329;;100 %; United Kingdom;Plymouth;78;25
2511;;100 %; South Africa;Cape Town;77;25
2347;;100 %; Netherlands;The Hague;77;0
2648;;100 %; United Kingdom;London;77;4
2262;;100 %; Sweden;Karlskrona;76;75
3258;;53 %; Viet Nam;Haiphong;76;76
2471;;100 %; France;UBS-Vannes;75;2
2502;;100 %; Australia;Scarborough;75;43
3136;;100 %; Norway;Bergen;75;2
2471;;100 %; France;UBS-Vannes;75;2
2061;;100 %; Belgium;Ostend;74;0
2289;;100 %; France;Six Fours Les Plages;74;73
2473;;100 %; Norway;Oslofjord, Fulehuk Lighthouse;74;7
3412;;100 %; Netherlands;Rotterdam;74;0
2949;;100 %; Norway;Bergen;73;1
2463;;100 %; Canada;Prince Rupert;73;2
3544;;100 %; Sweden;Gothenburg;73;0
3202;;100 %; Hong Kong;Tsuen Wan;73;4
2273;;98 %; Netherlands;Rotterdam;73;0
2180;;100 %; France;Rouen;72;0
2113;;100 %; Saudi Arabia;Tabuk;72;68
2537;;100 %; United States of America;Savannah, Georgia;72;36
2716;;100 %; United Kingdom;Gosport;72;5
2825;;100 %; United Kingdom;Alton;71;13
2804;;100 %; Norway;Oslo;71;5
2593;;100 %; Canada;Prince Rupert;71;0
3090;;95 %; South Africa;Umhlanga;71;2
2365;;100 %; New Zealand;Auckland;70;4
2137;;100 %; Germany;Bremen;70;3
2135;;100 %; United States of America;Wilmington, CA;70;1
2333;;100 %; United Kingdom;Worldwide;69;37
3589;;100 %; Norway;Tomasjord;69;0
2279;;100 %; Australia;Minyama Sunshine Coast QLD;69;64
3845;;100 %; United States of America;Bellingham, WA;69;49
3987;;100 %; Belgium;Wenduine;69;8
2586;;100 %; Norway;Jeloy, Moss;69;0
2073;;100 %; United Kingdom;Felixstowe ;68;14
2189;;100 %; Italy;Milazzo;68;48
2277;;100 %; United States of America;Dania Beach - Florida;68;4
2996;;100 %; Greece;Nea Erithrea;68;0
3176;;100 %; Sweden;Näsudden Ingarö;67;5
2719;;100 %; Lithuania;Klaipeda;67;67
2661;;97 %; Netherlands;Amersfoort;67;18
3674;;100 %; United States of America;Seattle, WA;67;0
3004;;96 %; Slovenia;Izola;67;2
3269;;100 %; Netherlands;Bergen op Zoom;67;10
3473;;100 %; Netherlands;Breskens;66;0
2116;;100 %; United States of America;Eastport, Annapolis, MD;66;32
2199;;100 %; United States of America;Vicksburg;66;57
3212;;100 %; Netherlands;Maarssenbroek;66;27
3840;;100 %; Denmark;Røsnæs Fyr;66;51
2959;;100 %; Spain;Valencia;65;0
2043;;95 %; Poland;Szczecin-Golecin;65;30
2380;;100 %; Finland;Helsinki;65;21
3939;;100 %; France;Nice;65;3
2821;;100 %; Canada;Burnaby;65;0
3102;;100 %; Greece;Athens;65;0
2911;;100 %; Spain;el Toro;65;39
2247;;100 %; United States of America;Hanover, Maryland ;64;9
3007;;100 %; Netherlands;Maarssen;63;6
2922;;100 %; Spain;Alcaidesa;63;37
3347;;100 %; Netherlands;Krimpen aan den IJssel;63;4
2394;;100 %; Italy;Livorno;63;2
3077;;100 %; Germany;Kiel;63;0
3032;;99 %; Spain;Badalona;63;16
2701;;100 %; Australia;O'Connor;62;55
3646;;94 %; Netherlands;Urk;62;2
3497;;100 %; Denmark;Rødby;61;7
2653;;100 %; France;La Rochelle;61;38
2819;;100 %; Unknown;Roaming station;61;9
3271;;100 %; Spain;Torrevieja;61;33
2037;;96 %; France;France;61;8
3768;;100 %; South Africa;Cape Town;60;2
3130;;100 %; Denmark;Lunderskov;60;9
3711;;100 %; Australia;Cairns;60;59
2667;;98 %; Netherlands;Eelde;60;11
2739;;100 %; Australia;Townsville;60;18
2290;;100 %; Greece;Athens;60;15
2115;;100 %; United Kingdom;London;60;0
3827;;89 %; Taiwan (Province of China);Keelung;59;58
3721;;100 %; Norway;Bergen;59;3
2887;;100 %; Sweden;Djurhamn;59;23
2110;;100 %; Germany;Bremen;58;4
3193;;100 %; United Kingdom;Aberdeenshire;58;26
3809;;100 %; United States of America;Norfolk VA;58;21
2081;;92 %; Martinique;Fort-de-France;58;57
3574;;100 %; Spain;Vigo;58;3
3024;;100 %; Japan;Katsuura, Chiba;58;57
3749;;100 %; Sweden;Enskede;58;0
3151;;100 %; Norway;Trondheim;58;22
2791;;100 %; United States of America;Florida, Tampa;58;44
2689;;100 %; Norway;Haugesund;57;4
3145;;100 %; Canada;Vancouver;56;2
2020;;99 %; United Kingdom;Liverpool;56;0
2160;;100 %; Norway;Bergen;56;31
3654;;100 %; United Kingdom;Portsmouth;56;0
3175;;98 %; United Kingdom;Tangmere;55;16
3174;;100 %; United Kingdom;Higham, Kent;55;0
2070;;100 %; Australia;Nelson Bay, NSW;55;29
2589;;100 %; Norway;Asker;54;20
3147;;100 %; Norway;Tromsø;54;0
2198;;100 %; Norway;Kristiansund;54;0
2976;;100 %; Canada;Vancouver;54;0
3997;;100 %; Norway;Molde;54;22
2058;;91 %; Denmark;Humlebaek;53;0
2741;;100 %; United States of America;Stanford;53;5
3149;;100 %; Germany;Bremerhaven;53;0
2095;;100 %; United Kingdom;Southampton;53;7
2525;;100 %; Italy;Meta (Naples);53;53
2525;;100 %; Italy;Meta (Naples);53;53
3447;;96 %; Sweden;Helsingborg;52;7
2995;;100 %; Australia;Kingston;52;3
3950;;100 %; Netherlands;Amsterdam;52;1
3842;;100 %; United Kingdom;Brighton;52;27
2428;;100 %; France;Le Havre;52;0
2130;;100 %; United Kingdom;Sheerness;52;0
3075;;97 %; Slovenia;Colomban;52;0
3031;;99 %; Malta;Malta Freeport;51;49
3812;;97 %; Spain;Valencia;51;0
2836;;100 %; France;Brest;51;5
2573;;100 %; Italy;Venice;51;12
2642;;90 %; United Kingdom;Southampton;51;1
2867;;100 %; Finland;Vantaa;51;7
2019;;100 %; Canada;Victoria, BC;50;4
2952;;100 %; Germany;Hamburg;50;0
2107;;100 %; Brazil;Santos;50;50
2111;;100 %; Turkey;Göcek;49;46
2059;;100 %; Portugal;Azores;49;8
2282;;100 %; United States of America;Seattle;49;5
2695;;100 %; Finland;Turku;49;9
2308;;100 %; United States of America;Jupiter, FL;48;48
2938;;100 %; Russian Federation;Sakhalin;48;48
2313;;100 %; United Kingdom;Broadstairs, Kent;48;0
2403;;100 %; Germany;Stadersand;48;4
3487;;100 %; United States of America;Friday Harbor;48;3
3221;;100 %; United States of America;Mill Valley, CA;47;5
2654;;100 %; Guernsey;St Martin;47;18
3324;;98 %; United Kingdom;London;47;47
2796;;100 %; Canada;Victoria;47;1
2684;;96 %; Norway;Oslo, Frognerkilen;47;24
3141;;100 %; Netherlands;Harkstede;47;4
2625;;99 %; Netherlands;Sint Anne;47;4
2251;;99 %; Netherlands;Maasbommel;46;3
2191;;100 %; United Kingdom;Aberdeen;46;35
2637;;100 %; Australia;Devonport;46;20
2206;;99 %; United Kingdom;Cleethorpes;46;0
3417;;100 %; Sweden;Sodra Bjorkfjarden;46;33
3658;;99 %; United States of America;Cape May;46;39
2782;;100 %; Netherlands;Sneek;45;38
2464;;99 %; Germany;Wentorf;45;0
2453;;100 %; Norway;Kristiansand;45;13
2627;;100 %; United States of America;Groton CT;45;17
2801;;100 %; France;Boulogne-sur-Mer;44;42
2060;;100 %; United Kingdom;Solent;44;0
2398;;100 %; Germany;Berlin;44;1
2761;;100 %; Netherlands;Huissen;44;1
3166;;100 %; Netherlands;Zaandam;43;1
2805;;100 %; Germany;Norderney;43;36
3159;;100 %; Netherlands;Gendt;43;2
2369;;100 %; United States of America;Seattle;43;42
2485;;99 %; Slovakia;Miloslavov;43;39
2669;;100 %; Cyprus;Limaasol;43;5
2967;;100 %; United Kingdom;Birkenhead;43;0
3166;;100 %; Netherlands;Zaandam;43;1
3159;;100 %; Netherlands;Gendt;43;2
3256;;100 %; United Kingdom;Bangor;42;27
2928;;100 %; Norway;Hammerfest;42;15
2066;;100 %; United Kingdom;Orkney;42;41
3300;;100 %; Norway;Bodø;42;0
3543;;100 %; Canada;Halifax;41;10
2143;;95 %; Netherlands;Sliedrecht;41;18
3179;;100 %; Denmark;Aarhus;41;6
3370;;100 %; Norway;Bodo;41;0
3099;;100 %; Netherlands;Espel;41;0
3200;;100 %; Norway;Bergen / Nygårdshøyden;41;4
3278;;100 %; United States of America;Maryland;41;0
2106;;99 %; Denmark;Lørslev;40;21
2285;;48 %; Canada;Vancouver;40;0
3549;;86 %; Norway;Mehamn;40;40
2094;;100 %; Netherlands;Helmond;40;0
2571;;100 %; Netherlands;Leens;40;0
2304;;100 %; Sweden;Ingarostrand;40;1
2652;;100 %; Germany;Hamburg;40;0
2925;;100 %; Australia;Elizabeth;39;7
2175;;100 %; Germany;Berlin Rummelsburg;39;3
3457;;100 %; United States of America;Stephensville, Louisiana;39;35
3419;;100 %; United States of America;Cambridge, MA;39;9
2584;;99 %; Germany;Rendsburg;39;17
