ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
3061,,100 %,ÿArgentina,Buenos Aires,69,50, 
2020,,100 %,ÿUnited Kingdom,Liverpool,69,0,www.shipais.com
2967,,60 %,ÿUnited Kingdom,Birkenhead,69,0, 
2116,,100 %,ÿUnited States of America,"Eastport, Annapolis, MD",68,46, 
2290,,99 %,ÿGreece,Athens,68,30, 
2791,,100 %,ÿUnited States of America,"Florida, Tampa",68,48, 
2135,,100 %,ÿUnited States of America,"Wilmington, CA",68,2, 
3202,,99 %,ÿHong Kong,Tsuen Wan,68,6, 
2463,,100 %,ÿCanada,Prince Rupert,67,2, 
2289,,99 %,ÿFrance,Six Fours Les Plages,67,66, 
3174,,100 %,ÿUnited Kingdom,"Higham, Kent",67,0, 
2692,,100 %,ÿSingapore,Pasir Ris,67,35, 
2720,,100 %,ÿSpain,Vigo Bay,67,29, 
3684,,100 %,ÿNetherlands,Alkmaar,66,10, 
2959,,100 %,ÿSpain,Valencia,66,0, 
2593,,100 %,ÿCanada,Prince Rupert,65,0, 
2130,,100 %,ÿUnited Kingdom,Sheerness,65,0, 
2058,,93 %,ÿDenmark,Humlebaek,65,1, 
3768,,98 %,ÿSouth Africa,Cape Town,65,4, 
2273,,100 %,ÿNetherlands,Rotterdam,65,0, 
2428,,100 %,ÿFrance,Le Havre,65,0, 
3269,,100 %,ÿNetherlands,Bergen op Zoom,65,11, 
2593,,100 %,ÿCanada,Prince Rupert,65,0, 
2130,,100 %,ÿUnited Kingdom,Sheerness,65,0, 
3175,,100 %,ÿUnited Kingdom,Tangmere,64,12, 
2180,,100 %,ÿFrance,Rouen,64,1, 
3354,,100 %,ÿAustralia,Port Hedland,64,64, 
2333,,100 %,ÿUnited Kingdom,Worldwide,63,38, 
3447,,100 %,ÿSweden,Helsingborg,63,11, 
2642,,100 %,ÿUnited Kingdom,Southampton,62,3, 
2628,,100 %,ÿSweden,Nyk”ping,62,11, 
2719,,100 %,ÿLithuania,Klaipeda,62,62, 
2095,,100 %,ÿUnited Kingdom,Southampton,62,5, 
2911,,100 %,ÿSpain,el Toro,61,36, 
2567,,99 %,ÿUnited Kingdom,Plymouth,61,3, 
3176,,100 %,ÿSweden,N„sudden Ingar”,61,8, 
2249,,100 %,ÿUnited States of America,San Diego,61,26, 
3141,,100 %,ÿNetherlands,Harkstede,61,9, 
3417,,100 %,ÿSweden,Sodra Bjorkfjarden,61,30, 
3075,,94 %,ÿSlovenia,Colomban,61,2, 
2867,,100 %,ÿFinland,Vantaa,60,6, 
3812,,93 %,ÿSpain,Valencia,60,0, 
3487,,100 %,ÿUnited States of America,Friday Harbor,60,5, 
3149,,100 %,ÿGermany,Bremerhaven,60,0, 
3145,,70 %,ÿCanada,Vancouver,60,4, 
3987,,100 %,ÿBelgium,Wenduine,60,15, 
2625,,99 %,ÿNetherlands,Sint Anne,59,3, 
2652,,96 %,ÿGermany,Hamburg,59,0, 
2697,,100 %,ÿUnited States of America,"Bremerton, WA",59,9, 
3827,,37 %,ÿTaiwan (Province of China),Keelung,58,56, 
2379,,100 %,ÿNetherlands,Zeist,58,3,QPS
2136,,100 %,ÿNetherlands,NW_Overijssel ,58,7, 
3516,,100 %,ÿUnknown,Roaming station,58,15, 
2070,,98 %,ÿAustralia,"Nelson Bay, NSW",58,30, 
3749,,100 %,ÿSweden,Enskede,58,1, 
2741,,100 %,ÿUnited States of America,Stanford,58,3, 
2206,,100 %,ÿUnited Kingdom,Cleethorpes,58,0, 
3473,,100 %,ÿNetherlands,Breskens,58,0, 
2949,,100 %,ÿNorway,Bergen,57,0, 
3211,,100 %,ÿNew Zealand,Auckland,57,0, 
2786,,100 %,ÿTurkey,BakÕrk”y,57,14, 
3950,,100 %,ÿNetherlands,Amsterdam,57,0, 
2689,,100 %,ÿNorway,Haugesund,56,5, 
3064,,92 %,ÿSpain,La Manga del mar menor,56,51, 
2761,,100 %,ÿNetherlands,Huissen,56,2, 
3096,,100 %,ÿUnited Kingdom,Wirral,55,1, 
2308,,100 %,ÿUnited States of America,"Jupiter, FL",55,50, 
2782,,100 %,ÿNetherlands,Sneek,55,44, 
2511,,100 %,ÿSouth Africa,Cape Town,55,0, 
2584,,94 %,ÿGermany,Rendsburg,55,26, 
2996,,100 %,ÿGreece,Nea Erithrea,55,1, 
2199,,100 %,ÿUnited States of America,Vicksburg,55,55, 
2199,,100 %,ÿUnited States of America,Vicksburg,55,55, 
3151,,100 %,ÿNorway,Trondheim,54,27, 
2654,,100 %,ÿGuernsey,St Martin,54,16, 
3711,,32 %,ÿAustralia,Cairns,54,54, 
2110,,100 %,ÿGermany,Bremen,53,0, 
3024,,100 %,ÿJapan,"Katsuura, Chiba",53,52, 
2952,,100 %,ÿGermany,Hamburg,53,0, 
3840,,96 %,ÿDenmark,R›sn‘s Fyr,53,44, 
2060,,100 %,ÿUnited Kingdom,Solent,53,2,ShipFinder
3256,,99 %,ÿUnited Kingdom,Bangor,53,46, 
3102,,100 %,ÿGreece,Athens,53,0, 
2030,,100 %,ÿGermany,Rostock,52,19, 
2111,,100 %,ÿTurkey,G”cek,52,34, 
2081,,99 %,ÿMartinique,Fort-de-France,52,11, 
2925,,96 %,ÿAustralia,Elizabeth,52,18, 
2163,,96 %,ÿAustralia,Koumala,52,52, 
2376,,99 %,ÿUnknown,Roaming Station,52,3, 
3090,,100 %,ÿSouth Africa,Umhlanga,52,0, 
3822,,100 %,ÿCanada,Calgary,51,0, 
2247,,100 %,ÿUnited States of America,"Hanover, Maryland ",51,4, 
3997,,100 %,ÿNorway,Molde,51,25, 
2653,,97 %,ÿFrance,La Rochelle,51,29, 
3221,,100 %,ÿUnited States of America,"Mill Valley, CA",51,3, 
2589,,100 %,ÿNorway,Asker,51,25, 
3278,,100 %,ÿUnited States of America,Maryland,50,50, 
3845,,100 %,ÿUnited States of America,"Bellingham, WA",50,36, 
3654,,100 %,ÿUnited Kingdom,Portsmouth,50,0, 
2279,,100 %,ÿAustralia,Minyama Sunshine Coast QLD,50,39, 
2667,,100 %,ÿNetherlands,Eelde,50,7, 
2973,,100 %,ÿUnited States of America,Savannah GA,50,2, 
