ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
3943;;100 %; Korea;Busan;335;215; ;0,35 %;26,57 %;0,82 %;28,49 %
3182;;47 %; United States of America;Seattle;320;41; ;0,34 %;26,91 %;0,16 %;28,64 %
3808;;100 %; Singapore;Singapore;319;64; ;0,33 %;27,24 %;0,24 %;28,89 %
2413;;81 %; Germany;Hamburg Alster;314;1;www.searoutes.com;0,33 %;27,57 %;0,00 %;28,89 %
2011;;100 %; Sweden;Gothenburg;307;0; ;0,32 %;27,89 %;0,00 %;28,89 %
2744;;100 %; United States of America;Seattle;305;15; ;0,32 %;28,21 %;0,06 %;28,95 %
2164;;100 %; Sweden;Goteborg, West Coast;304;0; ;0,32 %;28,53 %;0,00 %;28,95 %
2475;;100 %; Netherlands;Poortugaal;303;1; ;0,32 %;28,85 %;0,00 %;28,95 %
2672;;100 %; United States of America;Highlands;295;26; ;0,31 %;29,16 %;0,10 %;29,05 %
3857;;100 %; Germany;Hamburg;287;0; ;0,30 %;29,46 %;0,00 %;29,05 %
2484;;93 %; United States of America;Biscayne Bay PS - Miami FL;287;57;SEAiq;0,30 %;29,76 %;0,22 %;29,27 %
2292;;100 %; Belgium;Gent;285;188; ;0,30 %;30,06 %;0,71 %;29,98 %
2954;;100 %; France;Sophia Antipolis, MINES Paristech;284;58;MINES Paristech;0,30 %;30,36 %;0,22 %;30,20 %
2650;;100 %; United States of America;Sabine Pass, TX;280;81; ;0,29 %;30,65 %;0,31 %;30,51 %
2843;;100 %; United Kingdom;Gravesend;279;57;;0,29 %;30,94 %;0,22 %;30,72 %
2213;;100 %; Unknown;Worldwide;4171;2148; ;4,37 %;35,32 %;8,14 %;38,86 %
2010;;100 %; Norway; ;3026;2174; ;3,17 %;38,49 %;8,24 %;47,11 %
2077;;100 %; Netherlands;Harderwijk;1067;63; ;1,12 %;39,61 %;0,24 %;47,35 %
2241;;100 %; Netherlands;Gouda;988;200; ;1,04 %;40,65 %;0,76 %;48,10 %
3438;;99 %; Netherlands;Amsterdam;793;225; ;0,83 %;41,48 %;0,85 %;48,96 %
2404;;100 %; Unknown;Roaming stations;777;382; ;0,81 %;42,29 %;1,45 %;50,41 %
2945;;100 %; Netherlands;Rotterdam;757;18; ;0,79 %;43,09 %;0,07 %;50,47 %
3103;;100 %; Canada;Multiple Locations;724;0; ;0,76 %;43,85 %;0,00 %;50,47 %
3343;;100 %; Canada;Point Grey, BC;724;0; ;0,76 %;44,61 %;0,00 %;50,47 %
2902;;100 %; Singapore;Singapore;703;113; ;0,74 %;45,34 %;0,43 %;50,90 %
2141;;100 %; Norway;Multiple AIS stations;643;123; ;0,67 %;46,02 %;0,47 %;51,37 %
3131;;100 %; Greece;Elliniko;625;63; ;0,66 %;46,67 %;0,24 %;51,61 %
2134;;100 %; United States of America;Fort Lauderdale, FL;603;128; ;0,63 %;47,31 %;0,49 %;52,09 %
2145;;100 %; Belgium;Antwerp;594;292;Tresco Engineering;0,62 %;47,93 %;1,11 %;53,20 %
2097;;100 %; Netherlands;Hellevoetsluis;592;14;InterTransIS;0,62 %;48,55 %;0,05 %;53,25 %
3272;;100 %; Hong Kong;Tseung Kwan O;541;349; ;0,57 %;49,12 %;1,32 %;54,58 %
2517;;100 %; Brazil;Belem;519;289; ;0,54 %;49,66 %;1,10 %;55,67 %
2918;;100 %; Singapore;Singapore;466;26; ;0,49 %;50,15 %;0,10 %;55,77 %
2435;;100 %; Netherlands;Katwijk;456;40; ;0,48 %;50,63 %;0,15 %;55,92 %
3344;;100 %; Greece;Athens;437;5; ;0,46 %;51,09 %;0,02 %;55,94 %
2214;;100 %; Netherlands;Rotterdam;434;1; ;0,46 %;51,54 %;0,00 %;55,94 %
