,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,TransceiverClass,size,size_scaled,size_traced
9951,303829046,2024-09-01T00:00:33,36.85831,-76.31866,0.0,278.7,511.0,CAPE STARR,IMO9578969,WDU2000,70.0,5.0,240.0,38.0,0.0,A,0.0,2.0,2.0
9953,563182400,2024-09-01T00:00:14,34.94629,-132.8287,18.8,292.3,294.0,WAN HAI 359,IMO9554092,9V7391,70.0,0.0,204.0,35.0,8.3,A,59262.00000000001,5.511260420554934,0.25
9957,370380000,2024-09-01T00:00:44,16.06221,-65.50485,10.6,59.1,56.0,NAVIOS ALTAMIRA,IMO9589827,3FRN4,70.0,0.0,292.0,45.0,14.4,A,189216.0,13.21100623900176,0.25
9973,636018262,2024-09-01T00:00:57,49.30367,-123.208,0.1,160.0,242.0,YM PLUM,IMO9198264,D5OX5,70.0,1.0,274.0,40.0,14.0,A,153440.0,11.091286134959148,11.091286134959148
10042,366987890,2024-09-01T00:00:07,29.28414,-88.91616,5.9,156.2,511.0,CAPT RUDY,IMO9337420,WDC2099,70.0,8.0,50.0,10.0,0.0,A,0.0,2.0,2.0
10048,366938770,2024-09-01T00:00:18,46.77669,-91.98284,0.0,199.0,306.0,H LEE WHITE,IMO7366362,WZD2465,70.0,1.0,215.0,23.0,8.7,A,43021.5,4.549014379921434,4.549014379921434
10051,367309990,2024-09-01T00:00:22,29.11128,-92.01042,18.7,312.5,511.0,MISS PEGGY ANN,IMO8977754,WDD9336,70.0,0.0,40.0,7.0,0.0,A,0.0,2.0,0.25
10089,352898806,2024-09-01T00:00:07,25.80069,-80.25091,0.0,49.6,133.0,BAHAMAS PEARL,IMO9356347,HOA5301,75.0,0.0,59.0,14.0,2.2,A,1817.2,2.1076686989340967,0.25
10124,319132300,2024-09-01T00:00:57,37.2428,-76.09161,0.1,42.0,149.0,TEGEA,IMO9478937,ZGHJ4,70.0,1.0,190.0,32.0,6.5,A,39520.0,4.341551277721491,4.341551277721491
10168,538009562,2024-09-01T00:00:44,39.90133,-75.12828,0.0,190.5,194.0,DEL MONTE ROSE,IMO9849655,V7A4892,70.0,5.0,192.0,30.0,8.9,A,51264.0,5.037380685756945,5.037380685756945
