STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,GEO_COVERAGE,Geographical coverage,VEHICLE_TYPE,Vehicle type,FUEL,Fuel type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,SVN,Slovenia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,BIH,Bosnia and Herzegovina,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,BIH,Bosnia and Herzegovina,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,BIH,Bosnia and Herzegovina,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,BIH,Bosnia and Herzegovina,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LTU,Lithuania,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,1.7,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ISL,Iceland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,JPN,Japan,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MLT,Malta,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ESP,Spain,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NZL,New Zealand,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NLD,Netherlands,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,9934,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,AUT,Austria,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,323.1,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,DNK,Denmark,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MKD,North Macedonia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MDA,Moldova,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,0.0714,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,EST,Estonia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,AZE,Azerbaijan,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,1085.6,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,POL,Poland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,58.1,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,TUR,Türkiye,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,IRL,Ireland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,HRV,Croatia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,3.8,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ARM,Armenia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,DEU,Germany,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,9874.2422,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,HUN,Hungary,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,344.1112529,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,SVK,Slovak Republic,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,170.4,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LVA,Latvia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,SRB,Serbia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,390.1,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,CHE,Switzerland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,8.62,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,FIN,Finland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,72.6,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MEX,Mexico,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NOR,Norway,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,GEO,Georgia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,CZE,Czechia,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,4.032204,,,,,,6,Millions,1,One
