,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
453,"Brevig Mission, AK",AK,7.5,0.0,6.0,27.0,40.5,0.0,0.0,0.0,13.5,2022
454,"Lake Charles Harbor and Terminal District, LA",LA,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,2022
455,"Port Huron, MI",MI,0.0,0.0,0.0,0.0,0.0,9.27,0.0,9.27,9.27,2022
456,"Buffalo, NY",NY,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,2022
457,"Richmond, VA",VA,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,2022
458,"Port Milwaukee, WI",WI,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,2022
459,"DeTour, MI",MI,0.0,0.0,0.0,0.0,0.0,5.75,0.0,5.75,5.75,2022
460,"Port of Providence, RI",RI,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,3.5,2022
461,"Sault Ste Marie, MI",MI,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,1.75,2022
462,"Rochester, NY",NY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2022
463,Aberdeen,,,,,,,,,,4137.724,2018
464,Belfast,,,,,,,,,,18938.606,2018
465,Boston,,,,,,,,,,711.29,2018
466,Bristol,,,,,,,,,,8446.168,2018
467,Cairnryan,,,,,,,,,,2856.8669999999997,2018
468,Cardiff,,,,,,,,,,1769.8619999999999,2018
469,Clyde,,,,,,,,,,9086.56,2018
470,Cromarty Firth ,,,,,,,,,,274.689,2018
471,Dover,,,,,,,,,,24942.518,2018
472,Dundee,,,,,,,,,,607.554,2018
473,Felixstowe,,,,,,,,,,28267.574,2018
474,Fishguard,,,,,,,,,,442.525,2018
475,Fleetwood ,,,,,,,,,,0.0,2018
