,port_name,Region/State,Port hub,coord_0,coord_1,Major/Minor ports,id_Port,Year,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand
53,guaynabo,PR,"san juan, puerto rico",18.307611,-65.421345,,,2022.0,120553.8,1102.4,0.0,0.0,121656.2,0.0,0.0,0.0,120553.8
54,haines borough,AK,,,,,,2018.0,8484.35,952.8,3578.7,2926.75,15942.6,0.0,0.0,0.0,12063.05
55,haines borough,AK,,,,,,2019.0,8243.9,774.65,3578.4,2869.55,15466.5,0.0,0.0,0.0,11822.3
56,haines borough,AK,,,,,,2020.0,7926.0,662.8,3232.75,2360.55,14182.1,0.0,0.0,0.0,11158.75
57,haines borough,AK,,,,,,2021.0,8416.6,672.0,3391.95,2560.85,15041.4,0.0,0.0,0.0,11808.55
58,haines borough,AK,,,,,,2022.0,8956.7,865.8,3492.7,2638.9,15954.1,0.0,0.0,0.0,12449.4
59,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,28725.85,3818.85,9214.6,9672.05,51431.35,0.0,0.0,0.0,37940.45
60,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,28096.2,3873.7,8424.25,11268.8,51662.95,0.0,0.0,0.0,36520.45
61,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,21597.2,2470.45,6083.0,9357.5,39508.15,0.0,0.0,0.0,27680.2
62,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,24855.1,3485.1,8914.95,14532.65,51787.8,0.0,0.0,0.0,33770.05
63,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,25473.05,5134.5,10857.55,12498.55,53963.65,0.0,0.0,0.0,36330.6
64,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,490314.4,135103.55,304124.95,168881.8,1098424.7,25660.78,15611.55,41272.33,835711.68
65,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,497064.55,141729.5,299542.55,165900.15,1104236.75,19710.34,16949.48,36659.82,833266.92
66,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,471539.1,133035.45,280134.7,146886.45,1031595.7,19268.05,14070.75,33338.8,785012.6
67,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,509163.55,152883.55,306062.85,133928.0,1102037.95,26191.81,21337.39,47529.2,862755.6
68,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,484984.65,157941.35,301732.35,122118.15,1066776.5,33885.65,8160.84,42046.49,828763.49
69,hoonah,AK,,,,,,2021.0,1116.2,274.0,232.95,319.95,1943.1,0.0,0.0,0.0,1349.15
70,hoonah,AK,,,,,,2022.0,1246.55,327.4,212.7,436.0,2222.65,0.0,0.0,0.0,1459.25
71,hooper bay,AK,,,,,,2022.0,27.35,13.6,0.0,0.0,40.95,0.0,0.0,0.0,27.35
72,illinois international port district,IL,"chicago, il",41.80227346938776,-87.3036787755102,,,2021.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,5.75,5.75
73,illinois international port district,IL,"chicago, il",41.80227346938776,-87.3036787755102,,,2022.0,0.0,0.0,0.0,0.0,0.0,3108.2,21.0,3129.2,3129.2
74,jacksonville,FL,"jacksonville, fl",30.62464088709677,-81.48267733870966,,,2018.0,54130.45,43049.45,349221.7,1231.35,447632.95,257589.34,117460.22,375049.56,778401.7100000001
75,jacksonville,FL,"jacksonville, fl",30.62464088709677,-81.48267733870966,,,2019.0,128201.85,110761.75,384698.05,4555.4,628217.05,256114.19,112662.41,368776.6,881676.5
76,jacksonville,FL,"jacksonville, fl",30.62464088709677,-81.48267733870966,,,2020.0,109373.55,143941.85,446831.1,3924.7,704071.2,224988.78,104394.45000000001,329383.23,885587.88
77,jacksonville,FL,"jacksonville, fl",30.62464088709677,-81.48267733870966,,,2021.0,117641.9,169300.35,518112.4,4169.45,809224.1,208748.1,113620.32,322368.42,958122.72
78,jacksonville,FL,"jacksonville, fl",30.62464088709677,-81.48267733870966,,,2022.0,90968.6,131737.65,501386.75,2746.9,726839.9,212192.85,98003.13,310195.98,902551.33
79,jefferson county port district,WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744,,,2022.0,0.0,0.0,0.0,0.0,0.0,225.95,132.68,358.63,358.63
80,juneau,AK,,,,,,2018.0,69298.9,15325.15,22767.4,24494.95,131886.4,0.0,0.0,0.0,92066.3
81,juneau,AK,,,,,,2019.0,64972.3,13349.0,21550.45,25277.55,125149.3,0.0,0.0,0.0,86522.75
82,juneau,AK,,,,,,2020.0,65144.25,8050.45,20003.9,20471.85,113670.45,0.0,0.0,0.0,85148.15
83,juneau,AK,,,,,,2021.0,81814.0,13197.25,24243.5,39129.55,158384.3,0.0,0.0,0.0,106057.5
84,juneau,AK,,,,,,2022.0,84781.7,11406.5,26617.85,38652.2,161458.25,3.54,0.0,3.54,111403.09
85,kahului,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,74960.55,2883.85,14498.25,50880.05,143222.7,3.5,0.0,3.5,89462.3
