MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
371228000,2024-09-01T00:00:18,31.97322,-80.3952,0.0,95.6,200.0,MSC PAMELA,IMO9290531,3EBT6,71.0,0.0,337.0,46.0,9.8,71.0,A
477714200,2024-09-01T00:00:04,46.09244,-122.92461,7.4,295.9,295.0,PAC AGENA,IMO9726009,VRUB4,70.0,0.0,199.0,32.0,7.5,70.0,A
311697000,2024-09-01T00:00:04,35.43789,-73.59692,16.3,130.6,136.0,MORNING CALM,IMO9285615,C6TM5,70.0,0.0,199.0,32.0,10.0,70.0,A
370087000,2024-09-01T00:00:07,28.91821,-89.42011,10.7,211.3,211.0,INFINITY K,IMO9445069,3ERL,70.0,0.0,169.0,27.0,8.4,0.0,A
538009126,2024-09-01T00:00:03,39.98521,-73.72178,9.6,354.4,354.0,W KYRENIA,IMO9211494,V7A4351,70.0,0.0,300.0,43.0,0.0,70.0,A
367668280,2024-09-01T00:00:02,29.5915,-94.19285,0.1,6.9,511.0,CAPT ROD,,WDH9459,75.0,15.0,33.0,7.0,0.0,75.0,A
636093018,2024-09-01T00:00:01,25.74196,-117.84409,13.4,310.5,313.0,CHARLESTON EXPRESS,IMO9665645,5LBJ4,70.0,0.0,368.0,51.0,12.6,70.0,A
367082220,2024-09-01T00:00:00,42.30059,-83.15708,0.1,333.1,154.0,STR WILFRED SYKES,IMO5389554,WC5932,70.0,5.0,201.0,21.0,8.3,70.0,A
316004950,2024-09-01T00:00:04,41.54428,-82.7295,0.0,191.8,183.0,SAGINAW,IMO5173876,VF2560,70.0,0.0,193.0,22.0,6.5,70.0,A
636093220,2024-09-01T00:00:02,36.78525,-131.24896,18.7,124.3,123.0,BF HAMBURG,IMO9332860,5LMY2,71.0,0.0,293.0,40.0,9.8,71.0,A
366904910,2024-09-01T00:00:05,45.56574,-86.57356,13.1,11.2,12.0,KAYE E BARKER,IMO5097450,WCF3012,70.0,0.0,228.0,21.0,0.0,70.0,A
431082000,2024-09-01T00:00:07,39.24008,-76.53006,0.0,321.9,247.0,MIRACULOUS ACE,IMO9293521,7KIZ,70.0,5.0,200.0,32.0,7.8,70.0,A
256676000,2024-09-01T00:00:04,34.67043,-125.86477,16.9,112.3,111.0,CMA CGM LEGACY,IMO9951537,9HA5933,71.0,0.0,268.0,44.0,13.0,71.0,A
636019033,2024-09-01T00:00:03,28.20902,-80.20469,11.7,119.8,116.0,MEDI ATLANTICO,IMO9774446,D5SQ3,70.0,0.0,200.0,32.0,13.3,70.0,A
316035905,2024-09-01T00:00:06,43.13702,-79.19254,0.0,355.4,183.0,ALGOMA INNOVATOR,IMO9773375,VDAS,70.0,0.0,198.0,24.0,6.8,70.0,A
352952000,2024-09-01T00:00:07,34.23368,-120.11353,9.5,106.3,110.0,MSC NEW YORK,IMO9606314,HOFP,71.0,0.0,399.0,54.0,11.0,71.0,A
636015173,2024-09-01T00:00:00,33.17579,-124.27593,18.9,262.7,266.0,JUPITER SPIRIT,IMO9509401,A8ZC2,70.0,0.0,183.0,31.0,8.2,70.0,A
367141680,2024-09-01T00:00:01,24.24442,-81.88777,17.0,90.8,92.0,NATIONAL GLORY,IMO8302246,WDD4207,72.0,0.0,149.0,22.0,6.9,72.0,A
316023808,2024-09-01T00:00:03,43.62329,-82.27547,11.1,351.7,351.0,BAIE COMEAU,IMO9639892,CFN6357,70.0,5.0,225.0,24.0,6.9,70.0,A
367766220,2024-09-01T00:00:05,40.50021,-74.14961,0.0,99.7,511.0,DALE PYATT,IMO131462900,WDJ3256,70.0,3.0,50.0,20.0,2.3,33.0,A
