Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts
2019-03,346312.5,290359.75,22899.95,544225.95,1203798.15,567125.9,636672.25,33.804338012958965,-118.37905453563714,6.0,10.0,1.0,2.0,,,,208.0,9.0,31.0,2.520765503708,1.3157187796160004,0.1543235834,0.001763698096,,,,1140.052619417624,18.911693758884,20.3631291069872,267.0
2019-03,52437.0,86856.25,20084.0,117007.0,336827.95,137091.0,139293.25,47.449354639175255,-122.42877860824744,2.0,1.0,,1.0,,,,79.0,3.0,25.0,0.071209310626,0.0294537582032,,0.02755778275,,,,5.7009997717366,0.0045856150496,3.6991142478718,111.0
2019-04,174.577,131.311,1.55,297.825,605.263,299.375,305.88800000000003,40.6909464495114,-74.15705749185668,6.0,52.0,1.0,5.0,16.0,2.0,26.0,44.0,5.0,728.0,24.315003338242,127.50434922769996,0.19621141318,6.435954814566001,94.788410933686,1190.4962148,0.0881849047999999,55.92640365340979,1.79235819006,582.3084056253032,885.0
2019-04,36357.25,79291.45,19652.25,80701.85,216002.8,100354.1,115648.7,37.90095694063927,-122.20986401826484,5.0,25.0,,2.0,1.0,1.0,,48.0,4.0,293.0,1.488561193024,3.9552252576372,,0.047619848592,0.0100089866948,788.626139588776,,59.06971049255338,8.311647739662,840.2551385076991,379.0
2019-04,382310.7,279336.75,24311.85,678627.65,1364587.95,702939.5,661647.45,33.804338012958965,-118.37905453563714,24.0,20.0,3.0,1.0,1.0,,1.0,199.0,16.0,47.0,90.7907025981614,2.787083916204,0.5097087497439999,0.000440924524,0.00110231131,,0.00881849048,1585.467761278529,22.2766533562424,542.8328518698814,312.0
2019-04,10429.0,36084.0,14213.0,32308.0,93034.0,46521.0,46513.0,26.14492877245509,-79.93771224550898,15.0,15.0,7.0,1.0,5.0,3.0,41.0,38.0,3.0,105.0,11.4340327101418,4.65065141689,0.01984160358,5.3282862715994,1.40544692025,2151.71167712,0.23920155427,66.12143845111157,0.03086471668,157.67306654656596,233.0
2019-04,18230.0,106654.0,27182.0,100627.0,252693.0,127809.0,124884.0,29.602093408239703,-94.66715344569288,1.0,,,,,3.0,,29.0,,40.0,0.34392112872,,,,,2525.39521121,,8.7366107958932,,11.514523481998,73.0
2019-04,56604.25,81304.75,15220.8,112651.5,323947.89,127872.3,137909.0,47.449354639175255,-122.42877860824744,1.0,2.0,1.0,,,,1.0,79.0,2.0,45.0,0.003527396192,22.82225336224,0.11353806493,,,,0.0171519639836,6.096553162217001,0.038139971326,10.8195382472692,131.0
2019-05,7357.0,35805.0,17168.0,25619.0,85949.0,42787.0,43162.0,26.14492877245509,-79.93771224550898,18.0,9.0,,1.0,7.0,,29.0,34.0,,156.0,31.1320492189012,9.345836210704,,4.40924524,10.08173924126,,0.20392759235,27.948441878264003,,418.7796409377551,254.0
2019-05,51251.74999999994,70541.0,13121.2,111729.75,315792.42,124850.95,121792.74999999994,47.449354639175255,-122.42877860824744,1.0,5.0,,,,,2.0,87.0,2.0,51.0,0.016314207388,0.3401953164922,,,,,0.0134481979819999,10.336703847262998,0.00440924524,13.7754521637128,148.0
2019-05,17953.0,116693.0,21289.0,107126.0,263061.0,128415.0,134646.0,29.602093408239703,-94.66715344569288,3.0,1.0,,,,,,16.0,1.0,36.0,8.6153124593408,0.00661386786,,,,,,9.8945006421434,0.000440924524,30.964365622424005,57.0
2019-05,378583.5,287934.25,17411.4,718357.0,1402286.15,735768.4,666517.75,33.804338012958965,-118.37905453563714,10.0,18.0,,,1.0,,2.0,248.0,24.0,37.0,16.465003575208,54.1172903314378,,,0.06834330122,,0.0107144659332,245.50399713869888,502.47368536836257,96.11568193583076,340.0
