,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario
112,2020-04,19981.25,82382.65,19552.0,80002.5,201918.4,99554.5,102363.9,37.90095694063927,-122.20986401826484,,3.0,1.0,,1.0,,50.0,80.0,2.0,21.0,,0.4529617635052,0.0046958461806,,0.0016314207388,,225.714554929888,138.7314340125024,3.2987547800798,25.6577507911792,158.0,,0.15098725450173334,0.0046958461806,,0.0016314207388,,4.51429109859776,1.73414292515628,1.6493773900399,1.221797656722819,Oakland
113,2020-04,330422.75,232823.25,21833.0,623651.0,1208729.0,645484.0,563246.0,33.804338012958965,-118.37905453563714,1.0,8.0,,,3.0,,,44.0,8.0,51.0,10.2074027306,7.05920162924,,,0.5960858639956,,,169.638214892092,103.999544702308,167.70566474962618,115.0,10.2074027306,0.882400203655,,,0.19869528799853334,,,3.855413974820273,12.9999430877885,3.288346367639729,Los Angeles/Long Beach
114,2020-05,342757.75,238938.0,9262.0,618913.0,1209869.75,628175.0,581695.75,33.804338012958965,-118.37905453563714,2.0,36.0,,,,,,114.0,5.0,120.0,1.10672055524,21.9199454163264,,,,,,298.33001795537643,4.5430878792602,380.5030491479937,277.0,0.55336027762,0.6088873726757333,,,,,,2.6169299820647054,0.90861757585204,3.1708587428999473,Los Angeles/Long Beach
115,2020-05,13244.0,100538.0,8959.0,99509.0,222250.0,108468.0,113782.0,29.602093408239703,-94.66715344569288,,,,,,,,132.0,1.0,21.0,,,,,,,,87.96902815304963,0.01763698096,15.173756106674,154.0,,,,,,,,0.6664320314624972,0.01763698096,0.7225598146035238,Houston
116,2020-05,29582.75,59594.75,8123.0,86128.5,240671.12,94251.5,89177.5,47.449354639175255,-122.42877860824744,8.0,,1.0,1.0,,,41.0,49.0,20.0,20.0,269.7162209703964,,0.003086471668,0.0147930177802,,,18.9090041192876,32.8364650126494,9.197465108378,14.922208665732,140.0,33.71452762129955,,0.003086471668,0.0147930177802,,,0.46119522242164884,0.6701319390336612,0.45987325541889995,0.7461104332866,Seattle/Tacoma
117,2020-05,174942.0,95462.0,1004.0,266004.0,537412.0,267008.00000000006,270404.0,40.6909464495114,-74.15705749185668,108.0,1896.0,6.0,658.0,17.0,1.0,192.0,5.0,36.0,460.0,1.37127526964,161.58120106503995,4.61427514366,11.239166116760003,44.03292758926,723.005988229,0.6128850883600003,4.611850058778,2.13627931878,470.4832222399119,3379.0,0.012696993237407406,0.0852221524604641,0.7690458572766666,0.01708079956954408,2.5901722111329413,723.005988229,0.003192109835208335,0.9223700117556,0.05934109218833334,1.0227896135650258,Newark/New York
118,2020-05,12613.0,20643.0,11721.0,19410.0,64387.0,31131.0,33256.0,26.14492877245509,-79.93771224550898,21.0,28.0,1.0,1.0,2.0,,40.0,29.0,1.0,664.0,135.42820384850398,19.859020098698,0.000881849048,0.00220462262,0.166008083286,,0.231264912838,471.5377152852842,2.755778275,828.2325817891475,787.0,6.4489620880239995,0.7092507178106429,0.000881849048,0.00220462262,0.083004041643,,0.00578162282095,16.25992121673394,2.755778275,1.2473382255860654,Miami/Fort Lauderdale
119,2020-05,25444.0,69720.0,17008.2,73422.5,185594.7,90430.7,95164.0,37.90095694063927,-122.20986401826484,,9.0,,1.0,,1.0,8.0,68.0,6.0,86.0,,1.8935283220918,,0.0566808475602,,1513.914353154,6.7726888735448,87.01473520575638,37.2675360165874,1244.2328329436425,179.0,,0.21039203578797777,,0.0566808475602,,1513.914353154,0.8465861091931,1.279628458908182,6.211256002764567,14.467823638879564,Oakland
120,2020-06,9171.0,21915.0,9186.0,19235.0,59507.0,28421.0,31086.0,26.14492877245509,-79.93771224550898,62.0,76.0,1.0,,3.0,1.0,9.0,28.0,3.0,832.0,126.741108876656,15.598586885548002,0.156969130544,,11.372766247532,497.14240081,0.061068046574,108.718539420418,0.373463071828,1254.6151504329123,1015.0,2.0442114334944517,0.20524456428352633,0.156969130544,,3.790922082510667,497.14240081,0.006785338508222222,3.882804979300643,0.12448769060933333,1.507950901962635,Miami/Fort Lauderdale
121,2020-06,385260.75,227123.75,11368.0,669902.9,1293655.4,681270.9,612384.5,33.804338012958965,-118.37905453563714,6.0,33.0,1.0,,3.0,,2.0,40.0,3.0,158.0,9.4074333667068,5.2861338871050005,0.40124131684,,0.465836759606,,0.0036596735492,67.527480619469,8.57157274656,134.87960555574318,246.0,1.5679055611177999,0.1601858753668182,0.40124131684,,0.15527891986866668,,0.0018298367746,1.6881870154867251,2.85719091552,0.8536683895933113,Los Angeles/Long Beach
