Hub Portuario,Date,latitude,longitude,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,Empty Exports_MA,Loaded Exports_MA,Empty Imports_MA,Loaded Imports_MA,Total TEUs_MA,Total Imports_MA,Total Exports_MA,Empty Exports_diff_savgol,Loaded Exports_diff_savgol,Empty Imports_diff_savgol,Loaded Imports_diff_savgol,Total TEUs_diff_savgol,Total Imports_diff_savgol,Total Exports_diff_savgol,Target_B
4.0,2024-10,0.2786446126912207,-1.0102726127834971,-0.6232283176098182,-0.5404896144599562,0.0072802485110083,-0.6302594989029437,-0.6391002103357525,-0.6111323421215377,-0.6163105716802294,-0.6119183483119373,-0.574563626703551,-0.038641959398054745,-0.6352155442664154,-0.647098282976607,-0.6254661777180406,-0.6169999581546823,-0.00045957473007560064,-0.004809403284139226,-0.0012179246633253569,0.003663906528793474,0.0009607501408656276,0.0033090972367577137,-0.0016479658347325825,0.0848358877327565
4.0,2024-11,0.2786446126912207,-1.0102726127834971,-0.6624286101357862,-0.5409414844835209,-0.0586211545045409,-0.6337874464714015,-0.662781724211982,-0.6282182352806438,-0.6459992253790268,-0.6193534082748714,-0.5774179390190673,-0.05423644535008865,-0.6311821485149889,-0.6498569898331501,-0.6247771354639785,-0.6233800944622919,-0.005887338715880267,-0.004951849929662624,-0.006059669597451474,0.0035629569664126755,-0.0016531900228754352,0.002207628126143958,-0.005780340090118805,-0.6251948145813393
4.0,2024-12,0.2786446126912207,-1.0102726127834971,-0.6353796247733403,-0.6476317626306529,-0.0818343206163471,-0.6172935706186502,-0.6609340637657417,-0.6169958356721743,-0.6544662688355786,-0.625717748275848,-0.5846335501786881,-0.061234664815030995,-0.6274644415868545,-0.6520102633045521,-0.6226135764253898,-0.6301327399260646,-0.011032225134143234,-0.008239311939196069,-0.02288947269491253,0.004569225390230438,-0.005332081718414674,-0.0003018269736493409,-0.010550340794976729,-1.6263421441116217
2.0,2018-10,-1.3851425834676494,1.0990400598702297,-0.7459409846604033,-0.9499064493106631,-0.0206495010803917,-0.8320292610102628,-0.8466633886602478,-0.8130495683159555,-0.8196459580055363,-0.7280348616529009,-0.9831791453791368,-0.008046393216658551,-0.8267094621427301,-0.8402974493714181,-0.8052667734500984,-0.8151434471710596,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-1.3350808318700824
2.0,2018-11,-1.3851425834676494,1.0990400598702297,-0.7326049419346345,-0.955780759617003,-0.0144448941320923,-0.8212166304244284,-0.8362086267406573,-0.8012534340397425,-0.8111768767527254,-0.7280348616529009,-0.9831791453791368,-0.008046393216658551,-0.8267094621427301,-0.8402974493714181,-0.8052667734500984,-0.8151434471710596,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-1.4726598668585693
2.0,2018-12,-1.3851425834676494,1.0990400598702297,-0.7159997315228488,-0.989686073718467,-0.0135069884306052,-0.8165870403727411,-0.8320578825165631,-0.7965589015141012,-0.8078267397027685,-0.7280348616529009,-0.9831791453791368,-0.008046393216658551,-0.8267094621427301,-0.8402974493714181,-0.8052667734500984,-0.8151434471710596,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-0.35847170569956244
2.0,2019-01,-1.3851425834676494,1.0990400598702297,-0.7175937884937167,-1.0373432988704137,0.016415810776455,-0.8370049167634881,-0.846259899568204,-0.8102051899305949,-0.8219242142232078,-0.7280348616529009,-0.9831791453791368,-0.008046393216658551,-0.8267094621427301,-0.8402974493714181,-0.8052667734500984,-0.8151434471710596,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.2427707170527533
2.0,2019-04,-1.3851425834676494,1.0990400598702297,-0.7276282420357557,-1.0008623256346314,-0.01920656923195,-0.8194017080785841,-0.8399319122236754,-0.8004759955323114,-0.8196215044504271,-0.7279535377294718,-0.9867157814302356,-0.01027842841971684,-0.8252479113299008,-0.8402243419418696,-0.8043086178665412,-0.8160390586269329,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-1.0416839489150147
2.0,2019-05,-1.3851425834676494,1.0990400598702297,-0.7442280488645894,-1.0050647168537823,0.0340917259198661,-0.845122080051787,-0.854083992506499,-0.8144325118147511,-0.8332788149789013,-0.727610950570309,-0.9977474349388593,0.0006698169803347212,-0.8278664751382058,-0.8417084627111198,-0.8045852065663002,-0.8187656300216061,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-0.09156917598719544
2.0,2019-06,-1.3851425834676494,1.0990400598702297,-0.751431024939731,-1.0216332843844842,0.0077401830376991,-0.8572574506523891,-0.8681661613129783,-0.8316894040686408,-0.8431947315756717,-0.7313761671713283,-1.0109179398923556,0.005106832414293001,-0.835074639183798,-0.848099969625584,-0.81067240057208,-0.8251692009861953,-0.005726356973766094,-0.011590466104432214,0.0023165068383524797,-0.0070971025898948,-0.007084063315601793,-0.0064186643822253114,-0.007455209687367697,-1.4497314848296505
