Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Hub Portuario,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Loaded_to_Total_Imports_Ratio
2019-03,17489.0,118295.0,35333.0,109604.0,280721.0,280721.0,135784.0,29.602093408239703,-94.66715344569288,3.0,2.0,,,,1.0,1.0,38.0,3.0,82.0,0.7826410301,1.137144347396,,,,220.462262,0.000440924524,18.774257584753204,3.979123366838,17.1487231883486,130.0,Houston,0.26088034336666666,0.568572173698,,,,220.462262,0.000440924524,0.4940594101250843,1.3263744556126666,0.2091307705896171,0.3904374806302343
2019-03,30532.75,88202.05,20523.25,74714.4,213972.45,213972.45,118734.8,37.90095694063927,-122.20986401826484,2.0,39.0,,,3.0,,3.0,53.0,4.0,85.0,0.301371912154,14.313600545254802,,,0.0596570880971999,,0.022266688462,51.4949578636264,15.51062244301,408.3487776583919,189.0,Oakland,0.150685956077,0.36701539859627696,,,0.019885696032399966,,0.007422229487333333,0.9716029785589886,3.8776556107525,4.804103266569316,0.34917766282528423
2019-03,346312.5,290359.75,22899.95,544225.95,1203798.15,1203798.15,636672.25,33.804338012958965,-118.37905453563714,6.0,10.0,1.0,2.0,,,,208.0,9.0,31.0,2.520765503708,1.3157187796160004,0.1543235834,0.001763698096,,,,1140.052619417624,18.911693758884,20.3631291069872,267.0,Los Angeles/Long Beach,0.42012758395133337,0.13157187796160003,0.1543235834,0.000881849048,,,,5.481022208738578,2.1012993065426664,0.656875132483458,0.45209070141867225
2019-03,52437.0,86856.25,20084.0,117007.0,336827.95,336827.95,139293.25,47.449354639175255,-122.42877860824744,2.0,1.0,,1.0,,,,79.0,3.0,25.0,0.071209310626,0.0294537582032,,0.02755778275,,,,5.7009997717366,0.0045856150496,3.6991142478718,111.0,Seattle/Tacoma,0.035604655313,0.0294537582032,,0.02755778275,,,,0.0721645540726152,0.0015285383498666665,0.147964569914872,0.34737912931512954
2019-04,36357.25,79291.45,19652.25,80701.85,216002.8,216002.8,115648.7,37.90095694063927,-122.20986401826484,5.0,25.0,,2.0,1.0,1.0,,48.0,4.0,293.0,1.488561193024,3.9552252576372,,0.047619848592,0.0100089866948,788.626139588776,,59.06971049255338,8.311647739662,840.2551385076991,379.0,Oakland,0.2977122386048,0.158209010305488,,0.023809924296,0.0100089866948,788.626139588776,,1.230618968594862,2.0779119349155,2.8677649778419765,0.37361483277068636
2019-04,382310.7,279336.75,24311.85,678627.65,1364587.95,1364587.95,661647.45,33.804338012958965,-118.37905453563714,24.0,20.0,3.0,1.0,1.0,,1.0,199.0,16.0,47.0,90.7907025981614,2.787083916204,0.5097087497439999,0.000440924524,0.00110231131,,0.00881849048,1585.467761278529,22.2766533562424,542.8328518698814,312.0,Los Angeles/Long Beach,3.7829459415900586,0.1393541958102,0.1699029165813333,0.000440924524,0.00110231131,,0.00881849048,7.967174679791603,1.39229083476515,11.54963514616769,0.4973132365707905
2019-04,10429.0,36084.0,14213.0,32308.0,93034.0,93034.0,46513.0,26.14492877245509,-79.93771224550898,15.0,15.0,7.0,1.0,5.0,3.0,41.0,38.0,3.0,105.0,11.4340327101418,4.65065141689,0.01984160358,5.3282862715994,1.40544692025,2151.71167712,0.23920155427,66.12143845111157,0.03086471668,157.67306654656596,233.0,Miami/Fort Lauderdale,0.7622688473427867,0.31004342779266664,0.002834514797142857,5.3282862715994,0.28108938405,717.2372257066667,0.005834184250487805,1.7400378539766204,0.010288238893333334,1.5016482528244377,0.3472708902121805
2019-04,18230.0,106654.0,27182.0,100627.0,252693.0,252693.0,124884.0,29.602093408239703,-94.66715344569288,1.0,,,,,3.0,,29.0,,40.0,0.34392112872,,,,,2525.39521121,,8.7366107958932,,11.514523481998,73.0,Houston,0.34392112872,,,,,841.7984037366667,,0.3012624412376966,,0.28786308704995,0.3982183914869031
2019-04,56604.25,81304.75,15220.8,112651.5,323947.89,323947.89,137909.0,47.449354639175255,-122.42877860824744,1.0,2.0,1.0,,,,1.0,79.0,2.0,45.0,0.003527396192,22.82225336224,0.11353806493,,,,0.0171519639836,6.096553162217001,0.038139971326,10.8195382472692,131.0,Seattle/Tacoma,0.003527396192,11.41112668112,0.11353806493,,,,0.0171519639836,0.07717155901540508,0.019069985663,0.2404341832726489,0.3477457439219622
2019-05,7357.0,35805.0,17168.0,25619.0,85949.0,85949.0,43162.0,26.14492877245509,-79.93771224550898,18.0,9.0,,1.0,7.0,,29.0,34.0,,156.0,31.1320492189012,9.345836210704,,4.40924524,10.08173924126,,0.20392759235,27.948441878264003,,418.7796409377551,254.0,Miami/Fort Lauderdale,1.7295582899389557,1.0384262456337778,,4.40924524,1.4402484630371428,,0.007031985943103448,0.8220129964195295,,2.6844848778061228,0.2980721125318503
