,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario,Hub Portuario_name
23,2020-09,0.11716888246237497,0.2077322571546261,-0.028334217645562446,0.48658395388575726,0.3676871252685288,0.15278017581190498,0.1666450962004284,0.0,1.4210854715202004e-14,0.6283880074721107,0.19376189501166458,-0.6092364129443535,1.64960910108885,3.08551699895928,0.8181588126176258,2.6354299022492,-0.5468261940751933,1.268963170667003,0.5928217657119981,-0.3750580891142502,-0.24319518282079025,-0.40301616548349234,0.27918492106554194,-0.20576160066248858,2.476108589994347,2.6829140423885045,-0.6833338144699239,0.04675476048932954,0.3555895860515218,1.205384346246767,-0.2586785247559367,-0.56877608683057,-0.38312790792576246,-0.19658197132268299,-0.7867933365212134,0.8860522490671922,-0.2638697460976172,-0.5006286726670511,-0.19794290674654694,-0.31883712757500304,0.0,Newark/New York
24,2020-10,0.16966350561375834,0.5553639073958335,0.06289474839180513,1.1245500739141545,0.7223624899716199,0.47114673271952384,0.3030568359152579,0.0,1.4210854715202004e-14,1.7111605717378395,1.0735042835305024,-0.46136349718116093,1.0905136651638274,-0.3376952637541641,0.6976049600708243,1.0520799328858605,-0.5876087567159783,-0.07893578179100495,0.2684101367843008,-0.3521817794759176,0.8437359040340223,-0.3946517419102267,-0.26178334803226794,-0.22087542709796806,0.45754347653047805,0.817157999933443,-0.6841061985714866,-0.016160799860399255,-0.3365471889517361,0.9068960979182858,-0.25671330247357455,-0.48005770671825165,-0.3526243154896358,-0.198231768805766,-0.006597782560786748,-0.03918014444864496,-0.33756392487801457,-0.48933199085961293,-0.17175512107658797,-0.48621914413611883,0.0,Newark/New York
25,2020-11,0.2208564135832995,0.6019277680936951,0.41458256236145097,0.6718483824298863,0.5520425805900032,0.2605046688197204,0.3651454294435756,0.0,1.4210854715202004e-14,0.0015196807919518676,0.3686175250278311,-0.017744749891583127,0.07938362146963793,-0.29143563858236077,3.7114512737408605,-0.16588158200901593,-0.6232934990266652,-0.30358560720067296,0.5599104410381737,-0.2542081073804742,-0.45790324757931905,-0.3385609014777398,0.877808257559712,-0.32572644115617094,1.1769464291310565,-0.300273125764566,-0.6751654716780927,-0.17709710888172722,-0.343507525171007,0.7004696336952303,-0.22538900242396737,-0.6682388139684189,-0.3243636342620479,-0.17918149803584163,-0.23524709914564426,-0.32105947331114404,-0.38737639170670957,-0.3410363877869579,-0.19635389205247908,-0.5535752819307166,0.0,Newark/New York
26,2020-12,0.4583365978488454,-0.8376796590121239,0.29263116848857335,0.12058413159913474,0.24529798787214474,-0.029774040214895416,0.2515589971831825,0.0,1.4210854715202004e-14,1.8631286509330294,0.40686719409386757,-0.46136349718116093,0.8526007137063711,-0.8234213280580986,-0.025718155209984255,0.11353311846686749,-0.6283913193567634,-0.27715621597600615,0.5426711757328371,-0.03543110607312463,-0.5891327255885791,-0.3995719910709712,0.1333011937992878,-0.5586822552464318,-0.043889565560486704,-0.05757315276228274,-0.6821046220169436,-0.22831786725544173,-0.423308644461332,0.8082660896912864,-0.2299345378593079,-0.71037389958368,-0.3705676051579456,-0.19553038443268814,0.09805892060814876,0.012199283848375788,-0.37084343385083435,-0.4084591930801043,-0.21217057797622005,-0.5786157928190073,0.0,Newark/New York
27,2021-01,0.353513024387404,-0.3684592165952115,-0.2715432455156923,0.4135588729504761,0.3709284720215018,0.1097015327976501,0.2613748187016535,0.0,1.4210854715202004e-14,1.597184512341447,0.41233143253187277,-0.6092364129443535,0.13886185933400202,-0.5921232021990822,2.747020453366449,0.07054624147057773,-0.6080000380363708,0.5817989988256657,1.138209431735373,-0.28648674172244115,-0.5568239483279408,-0.40301616548349234,-0.35600853164899876,-0.4828533942933276,1.3549274279622268,-0.08791064938756821,-0.6801077336815299,-0.21733848938394695,-0.3593959579063641,1.086875273521443,-0.2504210664859298,-0.7015909040562972,-0.38312790792576246,-0.196994898501041,-0.2043714830263741,-0.190467035054631,-0.3673873250737797,-0.43949014228294153,-0.21370624007814906,-0.6384744336890346,0.0,Newark/New York
28,2021-02,-0.7246148243118598,-1.727620555884143,0.05350031847752361,-0.42085973683995176,-0.6185980967178522,-0.33836377190389905,-1.138037266825245,0.0,1.4210854715202004e-14,1.673168551939042,0.22108308720169062,-0.3134905814179683,1.1975744933196828,-0.407084701511869,0.9387126651644272,0.4502636549378039,-0.48565235011401564,-0.33001499842533977,1.236943405756846,-0.17309840116742262,-0.5925516438172181,-0.3174038300865386,0.9391744747318534,-0.7583091951760449,1.3856771387210962,0.584570525806256,-0.6688257296891775,-0.22939619901067784,-0.21297357113450205,1.1870711220545451,-0.24031824556936224,-0.6934771905000616,-0.22702128781146727,-0.1924929519423886,-0.9444514682515381,0.2940140417826635,-0.19651730713599877,-0.4741016013382898,-0.21198202755546205,-0.6110857086811499,0.0,Newark/New York
29,2021-03,1.0169854187980127,1.3702798727900092,0.08972411435101348,0.901596004273247,1.075710446004446,0.3640078226335197,1.3414439453058549,0.0,1.4210854715202004e-14,0.26746381938353436,1.428679782000841,-0.017744749891583127,0.055592326323892285,-0.29143563858236077,0.45649725497722143,0.7440073144124506,-0.5468261940751933,0.595013694437999,0.24411844476314476,-0.3522434712976004,-0.12643912531276855,-0.2780418368005828,-0.4828819148522284,-0.6887914449337619,-0.10605687173110237,0.5036705348054954,-0.6576051853194743,-0.2245535091280721,-0.7899019580511872,0.8350437748078768,-0.2538624487042937,-0.6839234757408816,-0.26918801853199525,-0.19844236586461403,-0.8325462958589764,-0.27066712683791183,-0.3532731845123132,-0.40083341961726915,-0.21441671461599707,-0.6729075577750556,0.0,Newark/New York
30,2021-04,0.11177268134491987,0.8835374786344004,0.16607820212950475,0.14165983810179494,0.2836179094850701,-0.02272343976969147,0.32522462422491355,0.0,1.4210854715202004e-14,-0.37840051719602313,0.18829765657365938,-0.6092364129443535,-0.4440248717367661,1.5126897431179678,-0.1462720077567857,0.9804351378920443,-0.4958479907742119,2.1675624723056752,1.0802228120719681,-0.3259657324282472,-0.24849450607518084,-0.40301616548349234,-0.5601630961519155,-0.12229014584954372,-0.343746654618992,0.8768723057908798,-0.672245150681042,-0.17765588079125866,-0.18812573819543432,1.1234713929318594,-0.23352294362683798,-0.5693072121732038,-0.38312790792576246,-0.19706837641698474,-0.6392182008060202,-0.21167324414205763,-0.29856252692793295,-0.47981156271790154,-0.21329653877296034,-0.5858409569153453,0.0,Newark/New York
31,2021-05,0.915569972358122,2.1214004448372186,0.05392929228046078,0.9746435061728927,1.1468863047038564,0.39870487989527215,1.4230232849115207,0.0,1.4210854715202004e-14,0.07750372038954688,1.2647526288606845,-0.46136349718116093,0.6146877622489147,2.9467381234438697,-0.2668258603035871,1.4246328668537052,-0.23076133360910894,2.8018678616976787,0.9078301590186025,-0.2695791925630397,-0.5434098226578755,-0.39760389140667346,-0.3688735753594761,0.06621920832458233,0.8529358670055736,1.2722204493127227,-0.5762060051036887,-0.1887921069180605,-0.1795534244530351,1.3348364518349067,-0.2320435216030697,-0.7441383420358213,-0.36339028929062167,-0.1983204135955201,-0.6933464189266393,1.4878080172904393,-0.3059829868482742,-0.41247362232707213,-0.21419266482865187,-0.5592809461495646,0.0,Newark/New York
32,2021-06,0.5536221491596973,0.04287102062976495,-0.252027329888398,0.7583708839126158,0.6602418222011499,0.28550605580059,0.5597006478180551,0.0,1.4210854715202004e-14,0.7803560866673007,1.0571115682164869,0.2780010816348021,3.9692603777990496,2.206584120695017,0.2153895498836186,0.5219084499316202,-0.04723980172557611,0.3307197821913308,0.848276333418349,-0.3374171770776566,-0.17008731469839297,-0.2490123667521905,0.12999504700571957,0.9998575807273385,1.7177828473082497,0.40760179549209213,-0.12834433852475943,-0.22588671929818216,-0.2635031692495451,1.3416463281190152,-0.2533585932073565,-0.666877473080737,-0.2895237468227464,-0.19857159795313212,-0.2652154273839997,1.178961599546293,-0.31206685892556285,-0.12884514956043697,-0.21415534701928302,-0.575306689763429,0.0,Newark/New York
